transaction_id,timestamp,customer_id,merchant_id,merchant_category,amount,transaction_type,channel,device_fingerprint,ip_address,status,is_flagged,fraud_confirmed,response_time_ms,state
TXN-000049,2024-01-06 02:18:46,CUST-00006,MERCH-0044,marketplace,268.51,cartao_credito,app_mobile,FP-225725,33.163.xxx.xxx,pendente,0,,261,ES
TXN-000050,2024-02-21 05:22:16,CUST-00535,MERCH-0024,marketplace,33.54,cartao_debito,internet_banking,FP-186816,91.124.xxx.xxx,aprovada,0,,46,DF
TXN-000051,2024-01-02 06:35:26,CUST-00218,MERCH-0195,restaurantes,235.44,cartao_debito,app_mobile,FP-897429,242.159.xxx.xxx,aprovada,0,,307,SP
TXN-000052,2024-02-07 10:27:23,CUST-00373,MERCH-0043,outros,497.64,cartao_credito,internet_banking,FP-705282,166.52.xxx.xxx,aprovada,0,,222,ES
TXN-000053,2024-01-12 11:43:12,CUST-00272,MERCH-0014,utilidades,57.7,PIX,app_mobile,FP-151521,167.195.xxx.xxx,aprovada,0,,80,ES
TXN-000054,2024-02-17 22:12:33,CUST-00623,MERCH-0010,supermercados,136.81,PIX,app_mobile,FP-657980,26.141.xxx.xxx,aprovada,0,,122,SC
TXN-000055,2024-01-27 01:06:26,CUST-00709,MERCH-0001,supermercados,637.86,PIX,app_mobile,FP-834497,160.244.xxx.xxx,aprovada,0,,112,PA
TXN-000056,2024-02-02 05:58:40,CUST-00192,MERCH-0068,utilidades,226.21,PIX,app_mobile,FP-897191,219.4.xxx.xxx,pendente,0,,391,ES
TXN-000057,2024-01-02 16:31:24,CUST-00047,MERCH-0025,supermercados,260.47,boleto,caixa_eletronico,FP-451983,116.251.xxx.xxx,aprovada,0,,79,ES
TXN-000058,2024-01-30 05:41:35,CUST-00362,MERCH-0187,viagens,305.56,cartao_credito,caixa_eletronico,FP-530250,220.112.xxx.xxx,aprovada,0,,210,PB
TXN-000059,2024-02-04 21:30:32,CUST-00442,MERCH-0161,marketplace,184.56,PIX,API,FP-652501,45.135.xxx.xxx,aprovada,0,,345,ES
TXN-000060,2024-01-04 23:46:11,CUST-00196,MERCH-0029,supermercados,474.11,cartao_credito,caixa_eletronico,FP-818826,38.238.xxx.xxx,estornada,0,,205,AL
TXN-000061,2024-01-07 06:34:02,CUST-00296,MERCH-0079,servicos_digitais,81.64,PIX,app_mobile,FP-974627,1.25.xxx.xxx,aprovada,0,,23,RJ
TXN-000062,2024-02-26 19:40:21,CUST-00443,MERCH-0099,utilidades,801.37,PIX,app_mobile,FP-202905,229.133.xxx.xxx,aprovada,0,,213,SC
TXN-000063,2024-01-14 12:18:15,CUST-00593,MERCH-0146,restaurantes,287.12,PIX,app_mobile,FP-292279,97.223.xxx.xxx,pendente,0,,137,MG
TXN-000064,2024-02-09 19:58:18,CUST-00431,MERCH-0078,farmacias,446.95,boleto,app_mobile,FP-491235,33.150.xxx.xxx,recusada,0,,119,SP
TXN-000065,2024-02-14 16:23:31,CUST-00531,MERCH-0177,servicos_digitais,728.29,PIX,app_mobile,FP-876442,150.27.xxx.xxx,aprovada,0,,186,SC
TXN-000066,2024-01-31 04:25:41,CUST-00644,MERCH-0031,viagens,538.59,boleto,caixa_eletronico,FP-208639,122.12.xxx.xxx,aprovada,0,0,87,SP
TXN-000067,2024-01-23 19:25:17,CUST-00189,MERCH-0111,servicos_digitais,2554.53,cartao_debito,caixa_eletronico,,37.123.xxx.xxx,aprovada,0,,142,MS
TXN-000068,2024-02-27 03:55:08,CUST-00103,MERCH-0008,supermercados,820.37,cartao_credito,app_mobile,FP-508346,3.155.xxx.xxx,aprovada,0,,489,SC
TXN-000069,2024-02-14 12:01:59,CUST-00741,MERCH-0181,marketplace,1069.07,boleto,app_mobile,FP-282973,168.77.xxx.xxx,aprovada,0,,263,PR
TXN-000070,2024-01-30 09:52:40,CUST-00781,MERCH-0047,utilidades,100.12,PIX,caixa_eletronico,FP-913063,169.132.xxx.xxx,aprovada,0,,293,MG
TXN-000071,2024-01-05 08:41:32,CUST-00070,MERCH-0083,e-commerce,482.82,cartao_credito,app_mobile,FP-947831,235.121.xxx.xxx,aprovada,0,,274,ES
TXN-000072,2024-02-28 21:19:30,CUST-00384,MERCH-0164,restaurantes,56.42,PIX,app_mobile,FP-364760,126.224.xxx.xxx,aprovada,0,,54,ES
TXN-000073,2024-01-10 08:10:35,CUST-00645,MERCH-0019,marketplace,150.15,cartao_credito,API,,246.254.xxx.xxx,aprovada,0,,20,MG
TXN-000074,2024-01-07 12:28:54,CUST-00142,MERCH-0026,farmacias,288.04,cartao_debito,API,,154.169.xxx.xxx,aprovada,0,,200,ES
TXN-000075,2024-01-28 23:14:57,CUST-00162,MERCH-0015,e-commerce,1448.15,cartao_debito,API,FP-375831,168.15.xxx.xxx,aprovada,0,,49,DF
TXN-000076,2024-02-02 00:02:42,CUST-00752,MERCH-0157,utilidades,136.04,cartao_credito,API,,252.36.xxx.xxx,aprovada,0,,411,SP
TXN-000077,2024-01-27 06:19:48,CUST-00133,MERCH-0059,viagens,102.46,PIX,internet_banking,FP-911192,201.100.xxx.xxx,aprovada,0,,160,SP
TXN-000078,2024-02-06 15:00:16,CUST-00785,MERCH-0095,viagens,64.93,TED,app_mobile,FP-160736,61.118.xxx.xxx,aprovada,0,,79,AL
TXN-000079,2024-01-31 11:57:58,CUST-00045,MERCH-0032,postos,82.68,cartao_credito,app_mobile,FP-670054,53.253.xxx.xxx,aprovada,0,,132,RJ
TXN-000080,2024-02-23 12:52:07,CUST-00376,MERCH-0014,marketplace,50.23,cartao_credito,internet_banking,FP-752079,125.143.xxx.xxx,aprovada,0,,226,MG
TXN-000081,2024-01-14 18:47:37,CUST-00382,MERCH-0022,e-commerce,77.6,PIX,app_mobile,FP-502586,127.9.xxx.xxx,aprovada,0,0,91,RJ
TXN-000082,2024-01-06 01:46:25,CUST-00546,MERCH-0068,restaurantes,538.74,PIX,caixa_eletronico,FP-894036,8.174.xxx.xxx,recusada,0,,381,SP
TXN-000083,2024-01-28 21:44:00,CUST-00739,MERCH-0042,utilidades,345.92,boleto,internet_banking,FP-349799,34.7.xxx.xxx,estornada,0,,251,RS
TXN-000084,2024-02-08 07:29:14,CUST-00585,MERCH-0004,e-commerce,55.69,PIX,app_mobile,FP-436581,215.135.xxx.xxx,aprovada,0,0,38,RS
TXN-000085,2024-02-24 00:59:29,CUST-00492,MERCH-0017,marketplace,75.11,PIX,API,,202.141.xxx.xxx,aprovada,0,,41,RJ
TXN-000086,2024-01-23 14:09:58,CUST-00051,MERCH-0184,e-commerce,1432.07,PIX,internet_banking,FP-371638,250.131.xxx.xxx,aprovada,0,,183,SP
TXN-000087,2024-02-19 05:15:03,CUST-00080,MERCH-0107,farmacias,138.31,cartao_debito,app_mobile,FP-396835,37.12.xxx.xxx,aprovada,0,,355,SC
TXN-000088,2024-01-04 00:36:07,CUST-00302,MERCH-0200,e-commerce,787.86,PIX,API,FP-325306,97.16.xxx.xxx,aprovada,0,,320,PR
TXN-000089,2024-02-25 18:32:25,CUST-00516,MERCH-0134,restaurantes,1167.34,cartao_credito,internet_banking,FP-976618,148.150.xxx.xxx,aprovada,0,,86,PI
TXN-000090,2024-01-24 09:40:44,CUST-00119,MERCH-0093,farmacias,34.17,boleto,app_mobile,FP-570777,202.214.xxx.xxx,aprovada,0,,303,AL
TXN-000091,2024-01-26 06:29:38,CUST-00621,MERCH-0127,servicos_digitais,167.24,TED,app_mobile,FP-288655,225.232.xxx.xxx,aprovada,0,,217,ES
TXN-000092,2024-02-11 21:16:52,CUST-00035,MERCH-0109,e-commerce,261.17,PIX,app_mobile,FP-683994,62.150.xxx.xxx,aprovada,0,,246,SP
TXN-000093,2024-02-09 16:44:49,CUST-00460,MERCH-0186,restaurantes,1434.77,cartao_credito,app_mobile,FP-634117,22.77.xxx.xxx,aprovada,0,,110,ES
TXN-000094,2024-02-27 02:19:39,CUST-00521,MERCH-0131,marketplace,549.02,cartao_credito,app_mobile,FP-438480,99.163.xxx.xxx,recusada,0,0,130,RJ
TXN-000095,2024-01-31 12:31:44,CUST-00631,MERCH-0074,e-commerce,106.72,PIX,app_mobile,FP-735615,193.54.xxx.xxx,pendente,0,,171,RJ
TXN-000096,2024-01-03 15:43:49,CUST-00173,MERCH-0007,restaurantes,269.61,PIX,API,,243.218.xxx.xxx,aprovada,0,,425,MT
TXN-000097,2024-01-14 06:48:32,CUST-00089,MERCH-0187,outros,176.45,cartao_credito,app_mobile,FP-451626,71.232.xxx.xxx,aprovada,0,,153,MG
TXN-000098,2024-01-04 11:02:17,CUST-00572,MERCH-0051,outros,982.32,cartao_debito,app_mobile,FP-953403,48.254.xxx.xxx,aprovada,0,,164,AC
TXN-000099,2024-01-04 18:26:24,CUST-00183,MERCH-0169,farmacias,394.15,PIX,app_mobile,FP-981529,60.149.xxx.xxx,pendente,0,,161,PI
TXN-000100,2024-01-11 21:50:06,CUST-00225,MERCH-0109,outros,181.38,cartao_credito,caixa_eletronico,FP-434397,170.58.xxx.xxx,aprovada,0,,231,ES
TXN-000101,2024-01-29 05:54:59,CUST-00030,MERCH-0173,marketplace,159.5,PIX,API,,114.217.xxx.xxx,aprovada,0,,44,RJ
TXN-000102,2024-02-13 11:04:05,CUST-00316,MERCH-0158,farmacias,48.71,cartao_debito,app_mobile,FP-665987,6.10.xxx.xxx,aprovada,0,,336,RO
TXN-000103,2024-01-05 18:40:47,CUST-00671,MERCH-0059,supermercados,53.47,TED,app_mobile,FP-492041,85.211.xxx.xxx,aprovada,0,,159,BA
TXN-000104,2024-01-05 02:31:53,CUST-00497,MERCH-0097,e-commerce,983.85,TED,app_mobile,FP-876497,225.138.xxx.xxx,aprovada,1,1,1129,RN
TXN-000105,2024-01-19 20:42:52,CUST-00401,MERCH-0118,servicos_digitais,134.2,cartao_credito,caixa_eletronico,FP-787919,148.241.xxx.xxx,aprovada,0,,174,ES
TXN-000106,2024-02-21 18:27:18,CUST-00720,MERCH-0148,supermercados,1627.43,TED,API,,60.228.xxx.xxx,estornada,0,,76,DF
TXN-000107,2024-02-27 14:44:39,CUST-00502,MERCH-0060,marketplace,200.97,PIX,internet_banking,FP-531865,80.172.xxx.xxx,aprovada,0,,297,ES
TXN-000108,2024-02-24 14:30:32,CUST-00215,MERCH-0132,servicos_digitais,388.17,cartao_debito,app_mobile,FP-868678,21.53.xxx.xxx,aprovada,0,,23,SP
TXN-000109,2024-01-20 03:53:59,CUST-00171,MERCH-0192,farmacias,548.28,boleto,app_mobile,FP-109708,76.60.xxx.xxx,recusada,0,,160,MG
TXN-000110,2024-02-24 17:46:24,CUST-00381,MERCH-0133,restaurantes,50.59,PIX,internet_banking,FP-320848,240.169.xxx.xxx,aprovada,0,,29,RJ
TXN-000111,2024-01-01 22:53:06,CUST-00486,MERCH-0118,marketplace,410.74,PIX,internet_banking,FP-591461,153.80.xxx.xxx,aprovada,0,,333,SP
TXN-000112,2024-02-26 17:54:36,CUST-00437,MERCH-0052,viagens,1876.48,TED,caixa_eletronico,FP-866150,56.143.xxx.xxx,aprovada,0,,53,ES
TXN-000113,2024-02-28 17:13:42,CUST-00607,MERCH-0060,marketplace,472.82,cartao_credito,API,,206.75.xxx.xxx,estornada,0,1,152,SP
TXN-000114,2024-01-30 09:00:43,CUST-00335,MERCH-0080,supermercados,162.22,PIX,internet_banking,FP-181998,227.109.xxx.xxx,recusada,0,,62,PR
TXN-000115,2024-02-17 14:00:02,CUST-00453,MERCH-0094,viagens,2605.72,PIX,app_mobile,FP-462798,187.217.xxx.xxx,recusada,0,,121,RS
TXN-000116,2024-01-02 00:52:06,CUST-00766,MERCH-0065,marketplace,318.69,TED,app_mobile,,70.17.xxx.xxx,aprovada,0,,218,PR
TXN-000117,2024-02-25 13:16:41,CUST-00059,MERCH-0193,servicos_digitais,235.59,cartao_credito,API,,95.14.xxx.xxx,aprovada,0,,266,RJ
TXN-000118,2024-01-12 14:17:04,CUST-00430,MERCH-0050,e-commerce,39.74,cartao_debito,app_mobile,FP-448824,215.162.xxx.xxx,aprovada,0,,216,MG
TXN-000119,2024-02-10 10:13:57,CUST-00413,MERCH-0022,servicos_digitais,936.74,cartao_credito,app_mobile,,156.101.xxx.xxx,aprovada,0,,82,BA
TXN-000120,2024-02-03 03:38:31,CUST-00121,MERCH-0161,farmacias,1142.52,cartao_credito,app_mobile,FP-927050,3.111.xxx.xxx,estornada,0,,64,RJ
TXN-000121,2024-01-13 21:17:40,CUST-00196,MERCH-0049,marketplace,85.96,TED,app_mobile,FP-409258,67.225.xxx.xxx,aprovada,0,,324,PI
TXN-000122,2024-01-17 13:14:04,CUST-00647,MERCH-0089,e-commerce,270.15,cartao_credito,app_mobile,FP-402712,54.175.xxx.xxx,aprovada,0,,151,SP
TXN-000123,2024-02-15 09:47:32,CUST-00224,MERCH-0083,marketplace,409.25,boleto,internet_banking,FP-716972,231.17.xxx.xxx,aprovada,0,,60,SP
TXN-000124,2024-01-10 17:30:03,CUST-00345,MERCH-0158,marketplace,360.82,TED,app_mobile,FP-556097,188.204.xxx.xxx,aprovada,0,,142,MG
TXN-000125,2024-01-23 17:57:56,CUST-00042,MERCH-0103,servicos_digitais,119.11,boleto,internet_banking,FP-274467,237.153.xxx.xxx,aprovada,0,,622,RJ
TXN-000126,2024-01-13 14:40:03,CUST-00143,MERCH-0118,restaurantes,79.14,cartao_credito,app_mobile,FP-280426,78.157.xxx.xxx,aprovada,0,,213,SP
TXN-000127,2024-02-06 08:05:02,CUST-00569,MERCH-0121,e-commerce,289.83,PIX,app_mobile,FP-840529,63.49.xxx.xxx,aprovada,0,,755,SC
TXN-000128,2024-02-27 22:58:06,CUST-00435,MERCH-0156,postos,809.8,PIX,internet_banking,FP-479878,88.0.xxx.xxx,aprovada,0,,80,PB
TXN-000129,2024-01-30 07:33:58,CUST-00217,MERCH-0124,farmacias,197.57,TED,internet_banking,FP-542223,46.83.xxx.xxx,aprovada,0,,67,SP
TXN-000130,2024-02-09 06:29:30,CUST-00672,MERCH-0125,servicos_digitais,314.06,PIX,app_mobile,FP-542978,198.27.xxx.xxx,aprovada,0,,150,MS
TXN-000131,2024-02-02 12:45:16,CUST-00730,MERCH-0173,servicos_digitais,77.64,boleto,app_mobile,,243.132.xxx.xxx,aprovada,0,,125,RR
TXN-000132,2024-01-12 19:14:07,CUST-00041,MERCH-0173,utilidades,338.39,cartao_debito,app_mobile,FP-669113,69.91.xxx.xxx,aprovada,0,,235,PE
TXN-000133,2024-01-04 13:18:46,CUST-00366,MERCH-0127,supermercados,265.71,TED,app_mobile,FP-580280,177.124.xxx.xxx,aprovada,0,,58,ES
TXN-000134,2024-01-15 05:57:11,CUST-00040,MERCH-0087,restaurantes,45.38,cartao_credito,caixa_eletronico,FP-543054,103.11.xxx.xxx,pendente,0,,335,SP
TXN-000135,2024-01-19 14:33:43,CUST-00120,MERCH-0013,supermercados,361.69,boleto,internet_banking,FP-897671,240.223.xxx.xxx,aprovada,0,,269,PR
TXN-000136,2024-01-28 15:53:39,CUST-00186,MERCH-0154,marketplace,199.8,TED,app_mobile,FP-201866,57.115.xxx.xxx,recusada,1,1,330,SC
TXN-000137,2024-02-27 18:59:17,CUST-00431,MERCH-0114,postos,53.42,TED,API,FP-658094,179.87.xxx.xxx,aprovada,0,0,223,SP
TXN-000138,2024-01-09 01:37:06,CUST-00354,MERCH-0008,marketplace,130.85,boleto,app_mobile,FP-754589,91.220.xxx.xxx,aprovada,0,,172,RO
TXN-000139,2024-02-06 10:28:33,CUST-00241,MERCH-0200,utilidades,292.16,PIX,internet_banking,FP-676790,105.180.xxx.xxx,estornada,0,,405,SC
TXN-000140,2024-01-31 20:28:10,CUST-00681,MERCH-0116,supermercados,108.53,cartao_debito,app_mobile,FP-519487,74.1.xxx.xxx,aprovada,0,,196,RJ
TXN-000141,2024-02-10 14:14:36,CUST-00595,MERCH-0021,outros,325.09,TED,internet_banking,FP-123942,84.127.xxx.xxx,aprovada,0,,284,MG
TXN-000142,2024-01-19 17:47:46,CUST-00524,MERCH-0052,utilidades,623.35,PIX,app_mobile,FP-132390,53.236.xxx.xxx,aprovada,0,,148,RJ
TXN-000143,2024-02-02 03:53:23,CUST-00619,MERCH-0105,utilidades,1049.13,boleto,app_mobile,FP-504032,19.213.xxx.xxx,recusada,0,,435,AP
TXN-000144,2024-01-03 07:16:18,CUST-00547,MERCH-0131,farmacias,396.54,cartao_credito,app_mobile,FP-925673,32.53.xxx.xxx,aprovada,0,,240,RS
TXN-000145,2024-02-02 23:52:19,CUST-00673,MERCH-0118,e-commerce,118.68,PIX,internet_banking,FP-356616,194.133.xxx.xxx,pendente,0,,186,MG
TXN-000146,2024-01-14 14:16:21,CUST-00780,MERCH-0184,e-commerce,161.23,PIX,app_mobile,FP-598372,183.225.xxx.xxx,aprovada,0,,74,RS
TXN-000147,2024-01-25 23:33:57,CUST-00394,MERCH-0185,restaurantes,92.24,PIX,app_mobile,FP-641922,104.244.xxx.xxx,aprovada,0,,188,RJ
TXN-000148,2024-02-06 08:19:40,CUST-00536,MERCH-0098,postos,1068.18,boleto,internet_banking,FP-458997,58.158.xxx.xxx,aprovada,0,,204,SP
TXN-000149,2024-02-25 06:49:00,CUST-00471,MERCH-0171,utilidades,260.95,boleto,caixa_eletronico,FP-445521,130.34.xxx.xxx,aprovada,0,,36,AL
TXN-000150,2024-01-24 18:10:27,CUST-00254,MERCH-0117,marketplace,369.17,cartao_credito,internet_banking,FP-378673,142.142.xxx.xxx,aprovada,1,,105,RS
TXN-000151,2024-02-26 20:43:38,CUST-00250,MERCH-0114,servicos_digitais,465.96,cartao_debito,app_mobile,FP-668714,151.110.xxx.xxx,aprovada,0,0,198,ES
TXN-000152,2024-01-25 10:36:53,CUST-00001,MERCH-0166,servicos_digitais,63.34,cartao_debito,internet_banking,FP-361118,88.140.xxx.xxx,aprovada,0,,144,CE
TXN-000153,2024-02-15 16:21:33,CUST-00522,MERCH-0088,supermercados,362.6,PIX,caixa_eletronico,FP-291528,50.55.xxx.xxx,aprovada,0,,296,MG
TXN-000154,2024-01-30 03:11:37,CUST-00702,MERCH-0041,utilidades,327.11,PIX,internet_banking,FP-641554,252.242.xxx.xxx,aprovada,0,,89,PE
TXN-000155,2024-02-06 00:00:21,CUST-00311,MERCH-0101,e-commerce,612.37,TED,app_mobile,,241.206.xxx.xxx,aprovada,0,,211,SE
TXN-000156,2024-01-25 20:21:30,CUST-00734,MERCH-0052,marketplace,594.76,TED,app_mobile,FP-561481,220.140.xxx.xxx,recusada,1,1,657,SC
TXN-000157,2024-02-07 20:54:45,CUST-00048,MERCH-0026,restaurantes,77.42,boleto,internet_banking,FP-664024,95.224.xxx.xxx,aprovada,0,,50,CE
TXN-000158,2024-01-15 17:39:20,CUST-00424,MERCH-0140,utilidades,306.93,cartao_debito,internet_banking,FP-656822,210.149.xxx.xxx,aprovada,0,,396,MT
TXN-000159,2024-02-13 06:53:00,CUST-00792,MERCH-0181,viagens,101.6,PIX,app_mobile,FP-124262,36.61.xxx.xxx,aprovada,0,,433,RS
TXN-000160,2024-02-12 10:45:57,CUST-00580,MERCH-0086,outros,113.08,boleto,API,FP-685410,200.57.xxx.xxx,aprovada,0,,179,CE
TXN-000161,2024-01-19 12:48:00,CUST-00666,MERCH-0190,servicos_digitais,105.94,cartao_credito,app_mobile,FP-290498,166.173.xxx.xxx,aprovada,0,,362,RN
