customer_id,age,customer_since,credit_limit,avg_monthly_spend,risk_score,region,account_tier,is_active
CUST-00054,37,2016-03-31,5452.66,3227.55,52.4,Centro-Oeste,Premium,1
CUST-00055,39,2023-10-12,13867.97,2118.6,54.0,Sudeste,Premium,1
CUST-00056,64,2018-01-25,22628.09,11406.81,16.5,Sudeste,Business,1
CUST-00057,72,2021-03-02,5039.95,2725.68,13.2,Centro-Oeste,Premium,0
CUST-00058,72,2020-04-10,1636.36,816.41,29.4,Norte,Standard,1
CUST-00059,23,2021-03-19,9862.93,4725.16,29.3,Sudeste,Premium,1
CUST-00060,32,2019-05-21,7674.47,2999.01,23.0,Sudeste,Premium,1
CUST-00061,62,2018-10-31,1754.21,281.25,28.7,Nordeste,Standard,1
CUST-00062,48,2020-10-26,15719.28,5695.38,37.1,Nordeste,Premium,1
CUST-00063,18,2017-12-06,1136.55,144.64,30.2,Nordeste,Standard,0
CUST-00064,36,2018-08-28,2022.12,1178.39,35.3,Sudeste,Standard,1
CUST-00065,69,2017-08-10,15694.28,3517.02,18.8,Sudeste,Business,1
CUST-00066,42,2018-11-13,23650.74,9324.6,11.2,Sul,Business,1
CUST-00067,66,2021-08-03,7175.75,1008.87,10.8,Sudeste,Premium,1
CUST-00068,48,2020-08-27,1864.31,449.97,18.9,Sudeste,Standard,1
CUST-00069,25,2017-10-24,1446.97,336.88,47.1,Sudeste,Standard,1
CUST-00070,37,2016-01-27,1816.74,672.18,20.6,Sudeste,Standard,0
CUST-00071,32,2016-05-11,10902.39,6273.16,71.9,Norte,Premium,1
CUST-00072,48,2018-02-06,14992.87,2859.81,24.2,Nordeste,Premium,1
CUST-00073,39,2020-04-26,14292.8,3786.19,49.9,Sudeste,Premium,1
CUST-00074,47,2022-12-07,1969.82,1152.53,42.0,Nordeste,Standard,1
CUST-00075,66,2018-05-01,13119.89,2647.32,19.7,Sul,Premium,1
CUST-00076,33,2022-02-22,1041.02,316.47,61.6,Sudeste,Standard,1
CUST-00077,63,2020-08-24,1820.27,941.74,26.4,Nordeste,Standard,1
CUST-00078,44,2020-02-09,31540.16,16094.15,10.3,Sul,Business,1
CUST-00079,27,2018-11-29,2035.37,765.22,63.0,Sudeste,Standard,1
CUST-00080,32,2019-04-25,3234.12,1463.81,61.1,Sul,Standard,1
CUST-00081,20,2022-07-03,2770.54,1481.82,37.9,Sudeste,Standard,1
CUST-00082,48,2020-12-12,3078.11,1307.95,81.1,Sudeste,Standard,1
CUST-00083,20,2016-12-29,2893.48,1621.69,38.5,Sudeste,Standard,1
CUST-00084,19,2023-05-28,1168.36,326.24,51.1,Nordeste,Standard,1
CUST-00085,57,2019-08-19,6889.96,3833.67,7.8,Nordeste,Premium,0
CUST-00086,69,2018-09-14,37910.41,6785.5,15.6,Sudeste,Business,1
CUST-00087,34,2018-10-18,6390.6,1868.27,39.3,Sudeste,Premium,1
CUST-00088,36,2023-09-04,37183.62,8821.45,13.4,Norte,Business,1
CUST-00089,49,2020-09-16,6761.42,3387.24,22.2,Sudeste,Premium,1
CUST-00090,61,2022-05-21,14840.84,6280.2,17.5,Sudeste,Premium,1
CUST-00091,36,2020-04-03,6107.68,1014.36,41.7,Sudeste,Premium,1
CUST-00092,65,2020-02-14,9619.98,1324.19,58.8,Sudeste,Premium,1
CUST-00093,72,2017-09-02,3372.05,360.67,41.8,Sudeste,Standard,1
CUST-00094,41,2022-09-15,9657.72,3957.48,68.4,Sudeste,Premium,1
CUST-00095,47,2016-01-22,2224.89,377.98,52.3,Sudeste,Standard,1
CUST-00096,44,2017-05-02,5854.27,1799.85,5.1,Sul,Premium,0
CUST-00097,41,2021-06-26,3851.67,2032.62,20.2,Centro-Oeste,Standard,1
CUST-00098,30,2022-07-20,43407.17,6330.36,4.6,Norte,Business,1
CUST-00099,26,2017-08-03,3489.45,1315.89,70.9,Sudeste,Standard,1
CUST-00100,35,2022-04-19,32758.08,16354.7,3.5,Sudeste,Business,0
CUST-00101,34,2023-05-02,2262.88,354.88,22.7,Sudeste,Standard,1
CUST-00102,57,2023-06-08,14905.02,6400.98,17.6,Sudeste,Premium,1
CUST-00103,23,2020-04-22,4788.19,1137.23,30.9,Sul,Premium,1
CUST-00104,47,2018-04-02,5190.14,2340.18,40.1,Sudeste,Premium,1
CUST-00105,46,2021-05-11,3482.26,1042.47,73.7,Sul,Standard,1
CUST-00106,48,2023-03-03,1256.09,396.85,55.2,Sul,Standard,1
CUST-00107,45,2023-05-06,35015.38,9658.05,26.1,Nordeste,Business,1
CUST-00108,72,2017-09-06,3287.82,1272.55,63.6,Norte,Standard,1
CUST-00109,71,2016-02-22,1541.25,695.64,92.2,Sudeste,Standard,1
CUST-00110,27,2016-10-26,15940.91,5822.28,11.2,Centro-Oeste,Business,1
CUST-00111,54,2017-03-26,1157.83,206.91,70.0,Sudeste,Standard,1
CUST-00112,35,2021-07-03,5365.81,1690.0,9.8,Sudeste,Premium,0
CUST-00113,43,2017-03-14,1613.27,923.86,77.0,Sudeste,Standard,1
CUST-00114,26,2019-08-28,1690.33,641.25,65.6,Sudeste,Standard,1
CUST-00115,22,2020-05-29,2720.2,1237.01,88.4,Sudeste,Standard,1
CUST-00116,71,2016-03-09,15804.87,8253.97,5.7,Sudeste,Business,1
CUST-00117,39,2021-06-08,1504.4,534.43,14.8,Sudeste,Standard,1
CUST-00118,27,2021-01-18,2807.2,1347.76,41.7,Sudeste,Standard,1
CUST-00119,46,2016-04-13,33668.44,14061.6,10.8,Nordeste,Business,1
CUST-00120,46,2016-11-02,1824.02,233.63,53.2,Sul,Standard,1
CUST-00121,72,2022-11-28,10084.81,3341.66,15.7,Sudeste,Premium,1
CUST-00122,59,2021-10-22,2426.89,425.75,10.9,Nordeste,Standard,1
CUST-00123,46,2018-12-29,2829.42,797.75,91.6,Centro-Oeste,Standard,1
CUST-00124,53,2016-04-24,1755.99,923.27,19.9,Centro-Oeste,Standard,1
CUST-00125,60,2019-07-11,3126.5,445.09,63.4,Sudeste,Standard,1
CUST-00126,61,2018-01-06,3011.37,1066.76,14.2,Sudeste,Standard,1
CUST-00127,65,2018-01-06,2010.29,971.28,46.4,Sudeste,Standard,1
CUST-00128,28,2019-01-05,2092.9,962.3,79.0,Sul,Standard,1
CUST-00129,71,2021-09-29,3841.39,2274.95,54.7,Sul,Standard,1
CUST-00130,69,2017-02-20,1750.01,736.04,12.7,Sul,Standard,1
CUST-00131,45,2022-11-22,20826.43,6780.34,9.7,Sul,Business,1
CUST-00132,19,2020-05-06,43969.11,18686.01,43.9,Sudeste,Business,1
CUST-00133,26,2016-01-04,2846.04,1573.66,21.9,Sudeste,Standard,1
CUST-00134,67,2020-09-08,1365.55,299.36,86.9,Sudeste,Standard,1
CUST-00135,58,2018-02-21,3155.63,775.14,2.0,Sudeste,Standard,1
CUST-00136,41,2023-02-28,32903.07,16228.0,43.4,Norte,Business,1
CUST-00137,41,2021-01-28,8285.13,1108.38,8.7,Sudeste,Premium,1
CUST-00138,26,2023-06-04,2015.64,849.39,85.6,Sudeste,Standard,1
CUST-00139,20,2020-08-18,3373.33,1831.36,44.8,Sudeste,Standard,0
CUST-00140,59,2021-10-11,3586.42,444.36,39.5,Sudeste,Standard,1
CUST-00141,42,2020-02-13,31107.62,10849.15,38.5,Sudeste,Business,1
CUST-00142,56,2021-11-23,1963.63,274.98,53.6,Sudeste,Standard,1
CUST-00143,20,2019-12-19,9219.29,3869.66,79.8,Sudeste,Premium,1
CUST-00144,65,2016-04-20,1093.42,573.32,82.4,Sudeste,Standard,1
CUST-00145,54,2023-07-23,12148.74,6978.38,10.6,Sudeste,Premium,1
CUST-00146,59,2020-10-17,1340.35,627.07,46.4,Nordeste,Standard,1
CUST-00147,57,2020-09-19,15983.55,3198.14,23.9,Sudeste,Premium,1
CUST-00148,69,2016-04-09,49496.55,21477.54,22.3,Centro-Oeste,Business,1
CUST-00149,63,2016-01-25,13524.36,4792.73,12.6,Sudeste,Premium,0
CUST-00150,53,2017-07-02,3410.99,1281.93,67.4,Sudeste,Standard,1
CUST-00151,67,2019-04-30,4885.01,2863.54,36.6,Centro-Oeste,Premium,1
CUST-00152,67,2017-09-26,6183.56,3605.83,46.7,Nordeste,Premium,1
CUST-00153,63,2021-05-23,3822.71,2092.79,80.9,Sudeste,Standard,1
CUST-00154,28,2017-04-13,18282.29,7849.8,21.3,Sudeste,Business,1
CUST-00155,19,2023-01-04,2924.36,1135.78,63.5,Sudeste,Standard,1
CUST-00156,36,2016-09-20,30610.43,15376.97,28.6,Norte,Business,1
CUST-00157,48,2018-09-17,2819.98,722.74,37.5,Nordeste,Standard,1
CUST-00158,53,2022-09-24,2399.42,560.83,46.9,Sudeste,Standard,1
CUST-00159,28,2020-03-31,39542.32,7707.47,2.0,Nordeste,Business,1
CUST-00160,47,2021-03-21,2058.69,257.89,40.6,Sudeste,Standard,1
CUST-00161,45,2022-06-02,12730.1,6135.0,22.3,Nordeste,Premium,1
CUST-00162,22,2019-08-03,3293.21,789.91,28.7,Centro-Oeste,Standard,1
CUST-00163,66,2022-04-21,2527.37,884.68,20.4,Sudeste,Standard,1
CUST-00164,50,2022-05-09,2839.2,514.61,19.8,Sudeste,Standard,1
CUST-00165,70,2023-09-25,3021.42,1782.48,41.0,Norte,Standard,1
CUST-00166,59,2017-06-07,3164.2,1239.61,23.2,Nordeste,Standard,1
CUST-00167,20,2017-07-01,16621.08,1819.49,15.3,Sudeste,Business,1
CUST-00168,48,2023-03-22,10224.2,3889.73,76.7,Sul,Premium,1
CUST-00169,52,2020-01-30,3027.61,1616.22,73.7,Sul,Standard,1
CUST-00170,37,2021-05-25,49334.76,23956.32,18.4,Sudeste,Business,1
CUST-00171,68,2020-11-07,2720.43,1010.9,27.0,Sudeste,Standard,1
CUST-00172,53,2016-02-11,1327.68,624.6,50.5,Centro-Oeste,Standard,1
CUST-00173,61,2022-05-18,2651.06,1496.66,64.2,Centro-Oeste,Standard,1
CUST-00174,67,2022-12-01,6786.64,3185.26,86.1,Sudeste,Premium,1
CUST-00175,20,2019-06-20,6235.74,2958.87,63.3,Centro-Oeste,Premium,1
CUST-00176,39,2020-09-23,2923.94,1058.93,36.2,Sudeste,Standard,0
CUST-00177,39,2020-08-11,3271.85,614.28,53.2,Nordeste,Standard,1
CUST-00178,29,2022-05-06,3807.48,393.75,57.7,Sudeste,Standard,1
CUST-00179,34,2016-08-03,1708.91,741.48,37.0,Sul,Standard,1
CUST-00180,62,2022-08-09,15287.63,4338.2,12.2,Centro-Oeste,Premium,1
CUST-00181,48,2017-11-22,13907.24,6688.41,31.3,Sudeste,Premium,1
CUST-00182,41,2023-01-17,16707.83,8594.29,49.5,Nordeste,Business,1
CUST-00183,46,2022-08-13,12603.02,4340.66,56.5,Nordeste,Premium,1
CUST-00184,54,2023-04-10,3018.3,766.9,32.5,Sudeste,Standard,1
CUST-00185,21,2023-02-23,30202.67,7355.72,9.1,Sudeste,Business,1
CUST-00186,41,2019-08-19,3751.35,1083.2,42.6,Sul,Standard,1
CUST-00187,37,2018-09-23,10533.34,3854.85,62.2,Nordeste,Premium,1
CUST-00188,64,2022-08-27,2980.59,1214.48,29.3,Sudeste,Standard,1
CUST-00189,33,2023-06-04,1703.02,355.31,29.9,Centro-Oeste,Standard,1
CUST-00190,61,2020-04-28,3628.77,2151.31,64.8,Sudeste,Standard,1
CUST-00191,29,2016-11-24,10670.21,1317.15,13.1,Sudeste,Premium,1
CUST-00192,44,2022-03-31,1551.64,572.5,36.0,Sudeste,Standard,1
CUST-00193,51,2022-06-01,1764.99,467.95,24.7,Sudeste,Standard,1
CUST-00194,42,2016-05-13,4474.57,610.3,40.0,Nordeste,Premium,1
CUST-00195,39,2020-07-09,13075.01,7434.19,63.7,Sudeste,Business,1
CUST-00196,56,2016-01-11,3745.38,1408.41,65.4,Nordeste,Standard,1
CUST-00197,49,2018-09-11,3943.96,1320.22,77.9,Sudeste,Standard,1
CUST-00198,27,2023-09-27,3804.27,1482.04,55.4,Sul,Standard,1
CUST-00199,59,2016-03-28,3290.08,1132.81,65.6,Centro-Oeste,Standard,1
CUST-00200,52,2018-06-11,3668.09,2183.11,78.7,Sudeste,Standard,1
CUST-00201,58,2016-06-10,46728.18,20076.4,0.4,Norte,Business,1
CUST-00202,52,2020-09-14,3439.47,1503.11,88.6,Nordeste,Standard,1
CUST-00203,51,2021-02-02,7207.9,2151.18,22.5,Sul,Premium,1
CUST-00204,61,2023-01-06,14298.63,6860.38,6.1,Norte,Premium,0
CUST-00205,28,2022-12-29,2301.73,1132.88,81.0,Norte,Standard,1
CUST-00206,62,2017-07-25,1139.69,156.34,37.9,Sudeste,Standard,1
CUST-00207,28,2017-08-06,3503.95,1032.19,84.0,Sul,Standard,1
CUST-00208,67,2017-01-13,27376.36,13326.19,1.1,Sudeste,Business,1
CUST-00209,42,2019-01-29,2757.63,799.81,79.4,Nordeste,Standard,1
CUST-00210,68,2016-10-23,2168.87,608.04,23.2,Nordeste,Standard,1
CUST-00211,45,2018-11-20,2537.32,384.78,17.3,Sul,Standard,0
CUST-00212,44,2019-07-28,12698.13,4822.35,82.6,Sudeste,Premium,1
CUST-00213,35,2020-07-17,1437.8,263.99,21.5,Sul,Standard,1
CUST-00214,49,2017-04-05,9494.34,1592.63,0.4,Centro-Oeste,Premium,1
CUST-00215,46,2020-03-01,3470.61,1476.81,49.5,Sudeste,Standard,1
CUST-00216,43,2020-05-04,3084.87,1065.83,61.5,Sudeste,Standard,1
CUST-00217,54,2021-09-05,2636.89,1162.49,55.1,Sudeste,Standard,1
CUST-00218,62,2023-02-22,13547.88,4126.29,20.1,Sudeste,Premium,1
CUST-00219,68,2019-09-10,3972.1,1348.99,41.7,Centro-Oeste,Standard,1
CUST-00220,52,2017-04-05,5019.78,2431.97,43.1,Norte,Premium,1
CUST-00221,61,2016-08-31,3258.05,1898.98,61.0,Sudeste,Standard,1
CUST-00222,54,2021-06-10,2173.4,1056.64,64.0,Nordeste,Standard,1
CUST-00223,23,2022-08-14,12761.81,3498.83,9.1,Centro-Oeste,Premium,1
CUST-00224,64,2016-02-09,1201.52,147.0,23.6,Sudeste,Standard,1
CUST-00225,53,2022-02-15,2279.11,754.45,83.8,Sudeste,Standard,1
CUST-00226,30,2018-11-17,2166.51,980.06,61.7,Nordeste,Standard,1
CUST-00227,47,2022-08-23,3587.91,1305.49,51.7,Centro-Oeste,Standard,1
CUST-00228,57,2021-12-26,12471.86,3102.03,65.3,Nordeste,Premium,1
CUST-00229,29,2019-09-25,10129.9,3131.35,8.9,Sudeste,Premium,1
CUST-00230,59,2021-12-23,2468.93,420.08,77.0,Norte,Standard,1
CUST-00231,70,2019-08-13,31453.93,10929.77,24.7,Sudeste,Business,1
CUST-00232,19,2021-06-12,1824.56,672.91,17.7,Sudeste,Standard,1
CUST-00233,25,2020-11-30,13879.39,3933.85,84.1,Sudeste,Premium,1
CUST-00234,24,2016-08-03,7572.51,4540.9,30.0,Sudeste,Premium,1
CUST-00235,67,2021-04-06,3212.84,1428.32,77.2,Sudeste,Standard,1
CUST-00236,69,2023-04-03,2596.84,1034.66,39.8,Sul,Standard,1
CUST-00237,61,2022-11-07,3250.28,993.93,12.3,Nordeste,Standard,1
CUST-00238,38,2021-02-22,12114.81,4176.33,43.4,Sudeste,Premium,1
CUST-00239,67,2022-11-16,3249.41,1453.63,24.6,Nordeste,Standard,1
CUST-00240,58,2016-06-21,14201.27,7069.95,20.4,Centro-Oeste,Premium,1
CUST-00241,26,2017-07-28,13459.64,7363.46,80.5,Sul,Premium,0
CUST-00242,72,2022-02-23,1002.03,580.19,57.3,Nordeste,Standard,1
CUST-00243,35,2022-11-15,7004.67,2002.79,74.9,Centro-Oeste,Premium,1
CUST-00244,32,2019-02-08,12444.38,1251.2,48.9,Sudeste,Premium,0
CUST-00245,62,2020-01-25,15857.86,4934.28,23.9,Sudeste,Premium,1
CUST-00246,38,2019-10-19,5645.55,2747.86,67.4,Nordeste,Premium,1
CUST-00247,18,2017-01-28,9281.19,4280.63,57.2,Sudeste,Premium,1
CUST-00248,23,2022-10-17,1369.47,636.81,33.2,Sudeste,Standard,1
CUST-00249,36,2016-03-05,3541.21,1904.86,51.5,Sudeste,Standard,1
CUST-00250,68,2021-03-27,1338.23,468.1,63.1,Sudeste,Standard,1
CUST-00251,67,2023-02-07,1202.6,277.91,61.3,Sudeste,Standard,1
CUST-00252,23,2016-09-26,2848.14,679.95,58.1,Sudeste,Standard,1
CUST-00253,58,2016-08-19,4793.38,2153.85,71.9,Sudeste,Premium,1
CUST-00254,37,2016-06-13,12887.9,2058.47,27.3,Sul,Premium,1
CUST-00255,68,2021-01-05,1380.79,677.36,72.6,Sudeste,Standard,1
CUST-00256,47,2018-03-11,2498.83,958.16,71.9,Sudeste,Standard,1
CUST-00257,50,2023-11-22,3588.79,797.7,71.8,Sul,Standard,1
CUST-00258,63,2016-07-26,1965.41,605.6,87.8,Sudeste,Standard,1
CUST-00259,29,2021-06-01,15776.97,9103.94,3.7,Sul,Premium,1
CUST-00260,53,2018-10-19,1602.01,611.81,40.3,Sudeste,Standard,1
CUST-00261,30,2017-10-16,6941.52,716.29,34.4,Sul,Premium,1
CUST-00262,39,2023-11-27,8515.3,3994.03,28.6,Sudeste,Premium,1
CUST-00263,27,2020-10-12,3763.82,2065.0,58.6,Nordeste,Standard,1
CUST-00264,26,2016-10-09,4897.97,1880.38,34.2,Sudeste,Premium,1
CUST-00265,65,2020-04-05,1815.87,249.4,27.1,Nordeste,Standard,1
CUST-00266,44,2022-07-26,3893.9,793.65,66.5,Sudeste,Standard,1
CUST-00267,62,2017-02-25,3507.77,925.69,27.2,Sudeste,Standard,1
CUST-00268,29,2023-07-28,44547.55,16837.94,31.9,Sudeste,Business,1
CUST-00269,21,2021-06-05,3471.02,993.13,52.9,Sudeste,Standard,0
CUST-00270,22,2021-09-14,29128.67,4788.63,24.5,Norte,Business,1
CUST-00271,28,2017-06-26,3173.29,1104.51,51.8,Nordeste,Standard,1
CUST-00272,27,2023-07-14,11403.73,4831.07,57.2,Sudeste,Premium,1
CUST-00273,69,2018-01-09,3982.26,1480.72,5.8,Sudeste,Standard,1
CUST-00274,54,2018-04-15,1811.31,204.74,35.3,Centro-Oeste,Standard,1
CUST-00275,32,2022-02-17,2970.59,692.93,92.4,Nordeste,Standard,1
CUST-00276,69,2019-07-26,3517.67,1838.37,15.3,Sul,Standard,0
CUST-00277,62,2019-12-23,33635.24,12833.68,5.0,Sudeste,Business,1
CUST-00278,32,2017-03-04,2579.35,258.82,21.5,Sudeste,Standard,1
CUST-00279,41,2023-02-08,3825.77,1139.31,45.1,Sul,Standard,1
CUST-00280,49,2016-08-21,3121.55,1189.28,28.4,Nordeste,Standard,0
CUST-00281,62,2017-06-30,3982.85,2320.38,3.3,Nordeste,Standard,1
CUST-00282,49,2022-05-05,1233.42,337.22,30.0,Centro-Oeste,Standard,0
CUST-00283,31,2021-02-13,8205.77,4049.63,78.1,Sudeste,Premium,1
CUST-00284,44,2018-05-23,8214.77,2363.17,29.2,Sudeste,Premium,1
CUST-00285,46,2023-02-04,4400.95,484.28,34.3,Sul,Premium,1
CUST-00286,22,2017-10-14,49176.56,13227.28,32.1,Sudeste,Business,1
CUST-00287,56,2019-01-19,1303.77,264.37,20.0,Nordeste,Standard,1
CUST-00288,33,2022-11-05,2715.31,1411.76,30.6,Sudeste,Standard,1
CUST-00289,30,2022-10-31,1512.5,371.93,28.3,Sudeste,Standard,1
CUST-00290,23,2016-09-20,1554.64,843.78,57.1,Nordeste,Standard,1
CUST-00291,21,2022-03-23,12009.62,1715.62,16.1,Sudeste,Premium,1
CUST-00292,71,2019-07-31,9023.58,3318.49,51.7,Sudeste,Premium,1
CUST-00293,72,2023-07-13,3701.37,1851.52,82.9,Nordeste,Standard,1
CUST-00294,31,2021-10-04,2270.12,1348.77,38.9,Nordeste,Standard,1
CUST-00295,69,2023-03-03,2669.09,1003.65,81.7,Sudeste,Standard,1
CUST-00296,24,2022-09-26,1302.97,316.68,57.2,Sudeste,Standard,1
CUST-00297,20,2021-12-27,1431.56,578.82,11.0,Norte,Standard,1
CUST-00298,37,2020-06-07,2474.86,1108.96,44.9,Sudeste,Standard,1
CUST-00299,35,2019-03-31,5071.44,1627.21,60.3,Sudeste,Premium,1
CUST-00300,21,2018-02-21,4787.4,2177.24,11.0,Sudeste,Premium,1
CUST-00301,71,2021-09-01,6993.88,2295.56,43.1,Sudeste,Premium,1
CUST-00302,58,2022-07-13,6903.26,2377.44,20.8,Sul,Premium,1
CUST-00303,71,2016-03-12,1082.35,135.1,85.4,Nordeste,Standard,1
CUST-00304,59,2019-04-30,3593.89,2097.28,82.2,Sudeste,Standard,1
CUST-00305,56,2020-06-29,12512.42,2974.07,70.2,Sudeste,Premium,1
CUST-00306,55,2022-10-09,3998.29,2331.97,67.6,Sudeste,Standard,1
CUST-00307,39,2020-10-26,14337.9,3305.94,62.8,Sul,Premium,1
CUST-00308,69,2017-03-11,1958.76,332.92,16.8,Sudeste,Standard,1
CUST-00309,55,2017-07-03,8118.0,3707.37,29.5,Sul,Premium,1
CUST-00310,37,2022-01-05,14517.94,2766.65,13.5,Sudeste,Premium,1
CUST-00311,29,2016-04-18,11853.22,2502.53,9.4,Nordeste,Premium,1
CUST-00312,58,2017-05-17,2861.96,961.93,22.1,Sudeste,Standard,1
CUST-00313,27,2022-05-19,25350.12,15047.72,58.3,Sul,Business,1
CUST-00314,21,2023-11-13,1628.15,792.54,36.1,Nordeste,Standard,1
CUST-00315,45,2019-05-25,2432.2,248.9,36.0,Norte,Standard,0
CUST-00316,64,2021-02-16,3630.96,929.69,31.5,Norte,Standard,1
CUST-00317,47,2018-01-31,2013.51,1095.32,46.5,Nordeste,Standard,1
CUST-00318,55,2018-04-06,2099.77,892.97,22.1,Norte,Standard,1
CUST-00319,60,2022-09-16,4236.9,1884.89,26.3,Sudeste,Premium,1
CUST-00320,62,2016-03-25,7613.4,3280.1,49.1,Nordeste,Premium,1
CUST-00321,24,2018-03-08,5412.81,849.85,11.2,Nordeste,Premium,1
CUST-00322,30,2019-11-27,7544.21,903.06,42.6,Centro-Oeste,Premium,0
CUST-00323,60,2022-12-03,43821.21,19040.8,8.8,Sudeste,Business,1
CUST-00324,34,2016-09-10,3966.0,983.61,60.7,Centro-Oeste,Standard,1
CUST-00325,24,2023-05-29,1415.18,599.47,27.0,Centro-Oeste,Standard,1
CUST-00326,43,2018-10-20,2157.15,1133.23,73.0,Sudeste,Standard,1
CUST-00327,29,2017-01-24,2075.8,237.49,65.8,Nordeste,Standard,1
CUST-00328,63,2016-04-26,3230.87,1492.3,23.6,Sudeste,Standard,1
CUST-00329,48,2020-01-16,11696.85,2039.08,91.9,Sudeste,Premium,1
CUST-00330,49,2022-01-24,2474.94,545.59,37.9,Sudeste,Standard,1
CUST-00331,46,2022-12-07,9364.82,1492.32,19.3,Sudeste,Premium,1
CUST-00332,18,2022-11-25,15558.05,6515.23,48.9,Sudeste,Premium,1
CUST-00333,70,2023-04-24,14131.81,3758.87,36.6,Centro-Oeste,Premium,1
CUST-00334,24,2016-07-13,2024.07,1042.28,85.9,Nordeste,Standard,1
CUST-00335,64,2019-05-01,2832.56,548.87,52.5,Sul,Standard,1
