alert_id,alert_timestamp,transaction_id,customer_id,alert_type,severity,alert_source,resolved,resolution_time_hours,analyst_action
ALT-000051,2024-02-17 05:24:34,TXN-001878,CUST-00438,velocity_check,medium,rules_engine,1,5.3,escalated
ALT-000052,2024-02-05 05:23:01,TXN-003138,CUST-00369,device_change,medium,rules_engine,1,1.3,escalated
ALT-000053,2024-02-26 05:17:09,TXN-003986,CUST-00646,velocity_check,medium,ml_model,0,,
ALT-000054,2024-02-14 02:45:40,TXN-001393,CUST-00177,velocity_check,high,rules_engine,0,,
ALT-000055,2024-02-21 01:11:31,TXN-002176,CUST-00525,high_value,medium,rules_engine,1,0.4,dismissed
ALT-000056,2024-02-06 14:57:50,TXN-000199,CUST-00424,device_change,medium,rules_engine,1,19.1,escalated
ALT-000057,2024-01-03 03:43:26,TXN-003796,CUST-00046,device_change,medium,rules_engine,1,15.0,dismissed
ALT-000058,2024-02-20 16:05:21,TXN-003446,CUST-00252,high_value,low,rules_engine,1,22.8,escalated
ALT-000059,2024-02-03 01:17:40,TXN-001414,CUST-00601,geo_anomaly,medium,ml_model,1,0.7,blocked
ALT-000060,2024-02-03 02:58:23,TXN-000760,CUST-00528,velocity_check,high,ml_model,1,1.0,investigating
ALT-000061,2024-02-21 02:23:51,TXN-002678,CUST-00658,velocity_check,low,rules_engine,1,3.1,blocked
ALT-000062,2024-01-30 06:29:49,TXN-002755,CUST-00705,pattern_match,high,ml_model,1,0.3,investigating
ALT-000063,2024-01-20 09:44:30,TXN-004053,CUST-00426,velocity_check,medium,rules_engine,1,2.6,blocked
ALT-000064,2024-01-26 16:16:47,TXN-003216,CUST-00501,high_value,medium,ml_model,1,2.6,dismissed
ALT-000065,2024-02-23 19:09:04,TXN-004545,CUST-00324,high_value,medium,ml_model,1,1.4,blocked
ALT-000066,2024-02-06 09:28:04,TXN-000868,CUST-00495,velocity_check,low,ml_model,0,,
ALT-000067,2024-02-20 03:28:02,TXN-004638,CUST-00514,device_change,low,rules_engine,1,1.2,blocked
ALT-000068,2024-02-18 17:10:37,TXN-002521,CUST-00114,geo_anomaly,high,rules_engine,1,9.6,blocked
ALT-000069,2024-02-20 17:50:17,TXN-003555,CUST-00272,pattern_match,medium,ml_model,1,1.6,dismissed
ALT-000070,2024-01-15 06:05:01,TXN-004609,CUST-00434,high_value,high,ml_model,1,1.4,investigating
ALT-000071,2024-02-13 18:33:33,TXN-004198,CUST-00164,geo_anomaly,critical,rules_engine,0,,
ALT-000072,2024-01-03 04:07:57,TXN-002158,CUST-00685,velocity_check,low,rules_engine,1,5.6,dismissed
ALT-000073,2024-02-03 16:25:43,TXN-001255,CUST-00195,velocity_check,medium,rules_engine,1,4.0,investigating
ALT-000074,2024-01-16 10:14:30,TXN-004219,CUST-00445,high_value,medium,rules_engine,1,1.3,dismissed
ALT-000075,2024-01-08 16:09:35,TXN-000432,CUST-00052,device_change,low,rules_engine,1,3.5,investigating
ALT-000076,2024-01-25 04:59:17,TXN-002274,CUST-00596,geo_anomaly,critical,ml_model,1,1.6,investigating
ALT-000077,2024-01-11 23:33:36,TXN-002667,CUST-00303,velocity_check,critical,ml_model,1,5.0,escalated
ALT-000078,2024-02-05 04:45:28,TXN-004356,CUST-00722,device_change,high,ml_model,1,523.6,dismissed
ALT-000079,2024-01-20 05:07:06,TXN-001468,CUST-00773,high_value,low,rules_engine,1,2.8,blocked
ALT-000080,2024-02-02 16:00:01,TXN-002874,CUST-00303,geo_anomaly,high,ml_model,0,,
ALT-000081,2024-02-27 18:24:16,TXN-002604,CUST-00109,high_value,high,manual_review,1,11.6,escalated
ALT-000082,2024-02-17 11:09:32,TXN-000224,CUST-00256,high_value,high,ml_model,1,0.1,blocked
ALT-000083,2024-01-04 21:37:44,TXN-000246,CUST-00167,high_value,critical,ml_model,1,6.9,dismissed
ALT-000084,2024-01-11 21:43:30,TXN-004939,CUST-00058,geo_anomaly,low,ml_model,1,4.3,dismissed
ALT-000085,2024-02-18 03:12:13,TXN-003662,CUST-00074,device_change,high,rules_engine,1,16.3,dismissed
ALT-000086,2024-02-17 03:20:19,TXN-003550,CUST-00665,geo_anomaly,critical,rules_engine,1,0.5,investigating
ALT-000087,2024-01-16 20:36:28,TXN-000563,CUST-00174,velocity_check,critical,ml_model,1,9.7,dismissed
ALT-000088,2024-01-28 00:41:37,TXN-002133,CUST-00123,geo_anomaly,high,ml_model,1,1.7,escalated
ALT-000089,2024-01-20 23:07:30,TXN-001970,CUST-00243,geo_anomaly,high,rules_engine,1,749.7,investigating
ALT-000090,2024-02-17 05:18:37,TXN-004289,CUST-00231,device_change,medium,ml_model,0,,
ALT-000091,2024-01-10 10:49:03,TXN-003957,CUST-00420,device_change,medium,rules_engine,1,1.5,dismissed
ALT-000092,2024-02-25 23:27:08,TXN-000738,CUST-00109,geo_anomaly,medium,ml_model,1,4.6,investigating
ALT-000093,2024-01-27 00:01:26,TXN-004171,CUST-00666,velocity_check,low,rules_engine,1,11.6,escalated
ALT-000094,2024-01-25 07:23:45,TXN-003795,CUST-00363,high_value,low,manual_review,0,,
ALT-000095,2024-01-17 00:16:28,TXN-001408,CUST-00050,high_value,critical,rules_engine,1,720.3,investigating
ALT-000096,2024-02-03 15:39:29,TXN-004118,CUST-00596,high_value,low,ml_model,1,10.8,investigating
ALT-000097,2024-02-27 07:45:22,TXN-002832,CUST-00705,high_value,critical,manual_review,1,1.0,dismissed
ALT-000098,2024-02-24 14:07:30,TXN-001046,CUST-00258,velocity_check,low,rules_engine,0,,
ALT-000099,2024-02-02 05:18:10,TXN-002425,CUST-00562,velocity_check,medium,ml_model,1,2.4,escalated
ALT-000100,2024-01-13 21:13:15,TXN-003239,CUST-00637,velocity_check,critical,rules_engine,1,8.7,dismissed
ALT-000101,2024-01-30 03:41:18,TXN-002499,CUST-00173,velocity_check,high,ml_model,1,22.7,dismissed
ALT-000102,2024-02-15 20:51:41,TXN-004406,CUST-00716,high_value,low,rules_engine,1,4.1,investigating
ALT-000103,2024-01-23 04:27:26,TXN-001990,CUST-00657,velocity_check,medium,rules_engine,1,3.3,blocked
ALT-000104,2024-01-20 16:25:36,TXN-000015,CUST-00088,high_value,medium,rules_engine,1,4.0,blocked
ALT-000105,2024-01-19 01:04:43,TXN-003354,CUST-00416,device_change,high,ml_model,1,3.8,investigating
ALT-000106,2024-01-25 06:37:47,TXN-001971,CUST-00419,velocity_check,high,rules_engine,1,4.5,investigating
ALT-000107,2024-01-24 05:49:17,TXN-001322,CUST-00765,device_change,low,manual_review,0,,
ALT-000108,2024-02-12 16:37:29,TXN-001035,CUST-00774,geo_anomaly,low,manual_review,1,1.1,escalated
ALT-000109,2024-01-28 18:54:27,TXN-001754,CUST-00385,velocity_check,medium,manual_review,1,2.3,dismissed
ALT-000110,2024-01-03 23:06:23,TXN-002821,CUST-00655,geo_anomaly,high,ml_model,0,,
ALT-000111,2024-02-11 17:16:11,TXN-003950,CUST-00637,high_value,medium,rules_engine,1,5.7,blocked
ALT-000112,2024-02-14 03:40:45,TXN-000492,CUST-00076,high_value,low,rules_engine,0,,
ALT-000113,2024-02-07 19:19:33,TXN-003867,CUST-00198,geo_anomaly,medium,ml_model,1,4.3,blocked
ALT-000114,2024-02-11 03:31:51,TXN-000607,CUST-00278,pattern_match,high,rules_engine,1,7.5,investigating
ALT-000115,2024-02-26 19:55:46,TXN-004864,CUST-00495,device_change,high,ml_model,1,741.0,investigating
ALT-000116,2024-01-02 01:19:54,TXN-000653,CUST-00459,velocity_check,medium,rules_engine,1,14.1,investigating
ALT-000117,2024-01-16 05:46:39,TXN-004472,CUST-00705,device_change,medium,ml_model,1,7.0,escalated
ALT-000118,2024-02-22 11:26:29,TXN-002094,CUST-00508,high_value,high,ml_model,1,1.8,investigating
ALT-000119,2024-01-08 17:13:16,TXN-000905,CUST-00702,geo_anomaly,high,ml_model,1,4.5,escalated
ALT-000120,2024-02-24 04:51:39,TXN-001149,CUST-00498,device_change,critical,rules_engine,1,5.4,escalated
ALT-000121,2024-01-09 06:02:51,TXN-002685,CUST-00487,velocity_check,critical,rules_engine,1,0.3,escalated
ALT-000122,2024-02-10 03:18:40,TXN-002453,CUST-00061,device_change,medium,rules_engine,0,,
ALT-000123,2024-01-26 00:54:25,TXN-002975,CUST-00202,device_change,high,ml_model,1,4.1,escalated
ALT-000124,2024-01-28 22:07:19,TXN-002493,CUST-00750,velocity_check,critical,ml_model,1,1.9,blocked
ALT-000125,2024-01-30 18:47:39,TXN-000279,CUST-00522,velocity_check,critical,rules_engine,1,26.3,investigating
ALT-000126,2024-01-01 22:38:47,TXN-000045,CUST-00126,high_value,high,ml_model,0,,
ALT-000127,2024-01-08 04:10:20,TXN-002486,CUST-00577,velocity_check,high,rules_engine,1,0.5,escalated
ALT-000128,2024-01-30 15:19:40,TXN-001008,CUST-00458,device_change,high,rules_engine,1,2.4,dismissed
ALT-000129,2024-01-28 05:25:05,TXN-001607,CUST-00158,velocity_check,low,rules_engine,1,0.6,escalated
ALT-000130,2024-01-25 04:50:19,TXN-003169,CUST-00044,velocity_check,medium,rules_engine,0,,
ALT-000131,2024-01-07 10:19:28,TXN-002358,CUST-00657,geo_anomaly,high,ml_model,1,4.8,dismissed
ALT-000132,2024-01-05 04:30:14,TXN-004108,CUST-00253,device_change,high,ml_model,1,2.1,dismissed
ALT-000133,2024-02-08 10:41:02,TXN-000037,CUST-00721,geo_anomaly,critical,ml_model,0,,
ALT-000134,2024-02-05 08:35:00,TXN-004728,CUST-00727,high_value,low,rules_engine,1,2.8,investigating
ALT-000135,2024-02-16 08:37:01,TXN-001442,CUST-00634,pattern_match,medium,ml_model,1,0.7,investigating
ALT-000136,2024-01-04 17:56:24,TXN-004603,CUST-00416,geo_anomaly,high,ml_model,1,673.4,investigating
ALT-000137,2024-01-13 01:49:49,TXN-001171,CUST-00481,velocity_check,high,manual_review,0,,
ALT-000138,2024-02-07 08:26:19,TXN-004303,CUST-00134,velocity_check,medium,manual_review,1,10.1,investigating
ALT-000139,2024-02-07 19:51:58,TXN-001237,CUST-00373,geo_anomaly,high,rules_engine,0,,
ALT-000140,2024-01-27 19:08:45,TXN-001247,CUST-00703,high_value,medium,ml_model,0,,
ALT-000141,2024-02-29 09:15:20,TXN-000434,CUST-00519,high_value,high,rules_engine,1,2.1,investigating
ALT-000142,2024-02-22 03:42:51,TXN-003916,CUST-00303,velocity_check,medium,ml_model,1,7.1,blocked
ALT-000143,2024-02-05 09:36:41,TXN-001436,CUST-00564,geo_anomaly,high,rules_engine,1,1.8,investigating
ALT-000144,2024-01-27 04:56:17,TXN-002503,CUST-00154,high_value,critical,ml_model,1,4.9,blocked
ALT-000145,2024-02-13 02:47:40,TXN-004357,CUST-00329,velocity_check,medium,rules_engine,1,2.1,blocked
ALT-000146,2024-02-05 23:56:20,TXN-004565,CUST-00750,geo_anomaly,medium,ml_model,1,1.3,dismissed
ALT-000147,2024-02-03 02:20:06,TXN-002902,CUST-00367,high_value,low,rules_engine,0,,
ALT-000148,2024-02-21 04:56:18,TXN-001167,CUST-00173,velocity_check,medium,ml_model,1,5.1,dismissed
ALT-000149,2024-01-06 03:03:50,TXN-001936,CUST-00546,velocity_check,low,ml_model,1,2.3,blocked
ALT-000150,2024-01-29 01:01:43,TXN-002904,CUST-00676,device_change,high,ml_model,0,,
ALT-000151,2024-02-14 03:54:09,TXN-002553,CUST-00198,velocity_check,low,ml_model,1,4.8,dismissed
ALT-000152,2024-02-10 03:37:27,TXN-001326,CUST-00013,device_change,high,ml_model,0,,
ALT-000153,2024-02-06 00:47:18,TXN-001584,CUST-00637,high_value,high,ml_model,1,0.8,escalated
ALT-000154,2024-02-07 15:30:56,TXN-004454,CUST-00636,velocity_check,low,rules_engine,1,2.4,dismissed
ALT-000155,2024-01-26 20:31:24,TXN-003401,CUST-00416,device_change,medium,rules_engine,1,2.6,blocked
ALT-000156,2024-02-01 04:36:20,TXN-004820,CUST-00710,velocity_check,critical,ml_model,1,8.2,investigating
ALT-000157,2024-01-08 05:24:44,TXN-002219,CUST-00123,device_change,critical,ml_model,1,0.7,investigating
ALT-000158,2024-01-22 23:04:35,TXN-003562,CUST-00179,velocity_check,medium,ml_model,1,1.7,investigating
ALT-000159,2024-01-14 05:06:17,TXN-001406,CUST-00650,velocity_check,critical,rules_engine,1,2.7,investigating
ALT-000160,2024-01-06 03:39:32,TXN-004752,CUST-00078,high_value,high,manual_review,1,7.8,investigating
ALT-000161,2024-02-05 11:15:53,TXN-000212,CUST-00174,device_change,medium,rules_engine,0,,
ALT-000162,2024-02-28 17:59:15,TXN-003004,CUST-00317,geo_anomaly,medium,rules_engine,1,2.5,investigating
ALT-000163,2024-02-18 04:18:45,TXN-004399,CUST-00481,pattern_match,high,rules_engine,1,1.3,dismissed
ALT-000164,2024-01-16 18:50:40,TXN-001916,CUST-00779,device_change,critical,ml_model,0,,
ALT-000165,2024-01-19 01:57:57,TXN-001071,CUST-00210,high_value,critical,ml_model,1,2.1,escalated
ALT-000166,2024-02-17 12:33:06,TXN-000878,CUST-00047,geo_anomaly,critical,rules_engine,0,,
ALT-000167,2024-01-05 08:15:32,TXN-000894,CUST-00243,pattern_match,critical,rules_engine,1,1.3,blocked
ALT-000168,2024-02-14 02:28:04,TXN-001378,CUST-00678,velocity_check,high,rules_engine,0,,
ALT-000169,2024-01-29 12:46:28,TXN-000291,CUST-00436,velocity_check,critical,ml_model,1,659.5,dismissed
ALT-000170,2024-02-04 12:10:00,TXN-001151,CUST-00445,device_change,high,rules_engine,0,,
ALT-000171,2024-01-15 01:47:53,TXN-000793,CUST-00696,velocity_check,medium,ml_model,0,,
ALT-000172,2024-02-11 02:07:17,TXN-001197,CUST-00596,geo_anomaly,high,rules_engine,1,0.1,blocked
ALT-000173,2024-01-26 19:56:27,TXN-004581,CUST-00691,geo_anomaly,medium,ml_model,1,0.2,escalated
ALT-000174,2024-01-19 01:07:12,TXN-000249,CUST-00673,high_value,medium,ml_model,1,0.5,escalated
ALT-000175,2024-02-04 19:07:23,TXN-004803,CUST-00742,device_change,low,manual_review,1,26.6,dismissed
ALT-000176,2024-02-24 06:27:59,TXN-001080,CUST-00384,device_change,medium,ml_model,0,,
ALT-000177,2024-01-30 02:24:12,TXN-002353,CUST-00119,velocity_check,low,rules_engine,1,1.9,investigating
ALT-000178,2024-02-29 07:46:28,TXN-000620,CUST-00316,geo_anomaly,high,ml_model,1,14.8,dismissed
ALT-000179,2024-02-25 05:11:46,TXN-002060,CUST-00020,pattern_match,low,rules_engine,0,,
ALT-000180,2024-01-09 14:06:42,TXN-003595,CUST-00637,high_value,high,rules_engine,1,1.8,investigating
ALT-000181,2024-02-03 13:22:37,TXN-001923,CUST-00495,high_value,low,ml_model,1,15.2,investigating
ALT-000182,2024-02-23 14:22:26,TXN-002328,CUST-00200,velocity_check,high,ml_model,1,2.5,dismissed
ALT-000183,2024-02-05 19:09:18,TXN-000739,CUST-00527,high_value,medium,ml_model,0,,
ALT-000184,2024-01-28 05:25:12,TXN-004129,CUST-00204,pattern_match,medium,ml_model,1,0.7,blocked
ALT-000185,2024-02-11 03:48:59,TXN-002072,CUST-00045,high_value,medium,ml_model,1,662.3,blocked
ALT-000186,2024-02-26 19:55:04,TXN-000716,CUST-00749,velocity_check,high,ml_model,1,3.5,investigating
ALT-000187,2024-02-25 23:42:04,TXN-002593,CUST-00747,pattern_match,high,rules_engine,1,4.2,escalated
ALT-000188,2024-02-10 01:18:58,TXN-004608,CUST-00329,device_change,medium,rules_engine,1,2.9,blocked
ALT-000189,2024-02-14 07:34:53,TXN-000626,CUST-00123,high_value,high,manual_review,1,11.2,investigating
ALT-000190,2024-02-13 12:04:37,TXN-001683,CUST-00329,device_change,high,rules_engine,0,,
ALT-000191,2024-02-28 16:19:35,TXN-003763,CUST-00647,device_change,high,ml_model,1,0.4,blocked
ALT-000192,2024-02-28 13:01:48,TXN-001555,CUST-00209,high_value,low,rules_engine,0,,
ALT-000193,2024-01-23 09:49:48,TXN-000552,CUST-00334,velocity_check,medium,ml_model,1,0.4,dismissed
ALT-000194,2024-01-30 03:20:28,TXN-000562,CUST-00225,device_change,high,ml_model,1,2.5,investigating
ALT-000195,2024-01-13 17:41:06,TXN-002319,CUST-00319,velocity_check,medium,rules_engine,1,1.3,blocked
ALT-000196,2024-01-16 13:07:37,TXN-003061,CUST-00368,geo_anomaly,medium,rules_engine,1,18.6,escalated
ALT-000197,2024-01-17 07:52:53,TXN-000503,CUST-00705,high_value,medium,ml_model,1,0.7,blocked
ALT-000198,2024-01-05 03:07:53,TXN-000104,CUST-00497,high_value,high,rules_engine,1,41.0,escalated
ALT-000199,2024-01-24 11:21:11,TXN-000945,CUST-00407,high_value,medium,rules_engine,1,0.5,dismissed
ALT-000200,2024-02-18 02:31:05,TXN-004180,CUST-00134,device_change,high,ml_model,0,,
ALT-000201,2024-01-22 11:27:07,TXN-002086,CUST-00423,high_value,high,rules_engine,1,4.4,blocked
ALT-000202,2024-01-16 21:38:26,TXN-001737,CUST-00287,velocity_check,high,rules_engine,0,,
ALT-000203,2024-02-06 04:15:02,TXN-003157,CUST-00251,velocity_check,medium,ml_model,1,0.8,blocked
ALT-000204,2024-02-01 04:48:35,TXN-000641,CUST-00098,high_value,high,rules_engine,1,3.3,dismissed
ALT-000205,2024-01-06 20:04:42,TXN-002347,CUST-00647,high_value,medium,rules_engine,1,1.0,blocked
ALT-000206,2024-02-03 03:58:04,TXN-004348,CUST-00589,velocity_check,medium,manual_review,1,10.7,blocked
ALT-000207,2024-01-04 03:28:31,TXN-001292,CUST-00471,device_change,medium,rules_engine,0,,
ALT-000208,2024-01-19 03:58:30,TXN-004229,CUST-00615,device_change,medium,rules_engine,1,3.3,dismissed
ALT-000209,2024-01-28 04:52:38,TXN-000423,CUST-00336,high_value,critical,ml_model,1,2.5,escalated
ALT-000210,2024-02-17 00:44:49,TXN-003442,CUST-00046,geo_anomaly,medium,rules_engine,1,12.5,dismissed
ALT-000211,2024-01-20 14:58:28,TXN-001672,CUST-00673,geo_anomaly,high,rules_engine,1,0.8,blocked
ALT-000212,2024-01-07 13:55:15,TXN-000201,CUST-00086,high_value,medium,ml_model,1,0.6,investigating
ALT-000213,2024-02-17 22:54:44,TXN-003991,CUST-00279,pattern_match,medium,rules_engine,1,5.2,blocked
ALT-000214,2024-01-21 16:07:28,TXN-003903,CUST-00378,device_change,low,rules_engine,1,2.9,blocked
ALT-000215,2024-01-17 11:47:19,TXN-004077,CUST-00727,geo_anomaly,high,rules_engine,1,2.8,blocked
ALT-000216,2024-02-15 23:08:37,,CUST-00391,geo_anomaly,medium,ml_model,1,5.8,blocked
ALT-000217,2024-01-20 10:14:58,,CUST-00590,device_change,low,ml_model,1,10.7,investigating
ALT-000218,2024-01-25 21:13:48,,CUST-00109,velocity_check,critical,ml_model,1,11.7,investigating
ALT-000219,2024-01-06 18:05:58,,CUST-00394,high_value,medium,ml_model,1,13.2,blocked
ALT-000220,2024-01-24 09:49:29,,CUST-00458,geo_anomaly,medium,ml_model,1,5.1,dismissed
ALT-000221,2024-02-09 08:58:27,,CUST-00339,device_change,medium,ml_model,0,,
ALT-000222,2024-02-21 05:03:49,,CUST-00176,geo_anomaly,medium,ml_model,0,,
ALT-000223,2024-02-08 13:07:02,,CUST-00383,pattern_match,high,ml_model,1,2.0,dismissed
ALT-000224,2024-02-21 08:22:58,,CUST-00608,velocity_check,low,ml_model,1,5.2,escalated
ALT-000225,2024-01-15 20:09:50,,CUST-00284,device_change,medium,ml_model,1,21.8,dismissed
ALT-000226,2024-01-17 10:12:31,,CUST-00087,device_change,critical,ml_model,0,,
ALT-000227,2024-01-17 05:07:09,,CUST-00474,velocity_check,low,ml_model,1,2.2,investigating
ALT-000228,2024-01-26 22:47:05,,CUST-00297,velocity_check,medium,ml_model,0,,
ALT-000229,2024-02-20 10:37:44,,CUST-00433,device_change,high,ml_model,1,3.3,investigating
ALT-000230,2024-02-24 09:11:48,,CUST-00519,pattern_match,medium,ml_model,1,7.9,dismissed
ALT-000231,2024-01-16 19:06:11,,CUST-00186,velocity_check,low,ml_model,0,,
ALT-000232,2024-01-07 14:12:33,,CUST-00274,geo_anomaly,medium,ml_model,0,,
ALT-000233,2024-02-05 03:21:39,,CUST-00012,device_change,medium,ml_model,1,5.2,escalated
ALT-000234,2024-02-24 04:48:45,,CUST-00566,velocity_check,medium,ml_model,1,2.7,investigating
ALT-000235,2024-01-26 22:58:31,,CUST-00800,velocity_check,medium,ml_model,0,,
ALT-000236,2024-02-23 02:17:03,,CUST-00601,velocity_check,medium,ml_model,0,,
ALT-000237,2024-01-10 10:34:15,,CUST-00561,velocity_check,low,ml_model,1,12.4,blocked
ALT-000238,2024-02-12 13:50:52,,CUST-00210,device_change,high,ml_model,1,7.5,blocked
ALT-000239,2024-02-18 08:46:59,,CUST-00410,velocity_check,low,ml_model,0,,
ALT-000240,2024-01-09 07:39:13,,CUST-00358,device_change,low,ml_model,0,,
ALT-000241,2024-01-27 09:04:19,,CUST-00785,device_change,high,ml_model,1,20.8,dismissed
ALT-000242,2024-01-04 07:33:55,,CUST-00168,device_change,low,ml_model,1,1.0,escalated
ALT-000243,2024-01-19 02:08:58,,CUST-00135,velocity_check,medium,ml_model,1,15.2,blocked
ALT-000244,2024-02-06 19:57:04,,CUST-00348,velocity_check,medium,ml_model,1,2.4,escalated
ALT-000245,2024-01-24 07:58:29,,CUST-00796,velocity_check,high,ml_model,1,10.5,investigating
ALT-000246,2024-01-26 05:45:24,,CUST-00294,velocity_check,low,ml_model,0,,
ALT-000247,2024-02-25 23:25:59,,CUST-00097,velocity_check,critical,ml_model,0,,
ALT-000248,2024-02-12 00:41:57,,CUST-00615,velocity_check,medium,ml_model,1,4.0,investigating
ALT-000249,2024-02-17 13:20:37,,CUST-00483,device_change,medium,ml_model,1,0.8,investigating
ALT-000250,2024-01-27 09:09:45,,CUST-00134,velocity_check,critical,ml_model,0,,
ALT-000251,2024-02-01 20:30:37,,CUST-00391,pattern_match,high,ml_model,1,2.7,escalated
